timestamp,junction_id,location_name,vehicle_count,congestion_pct,traffic_level,weather_condition,day_of_week,is_weekend,hour_of_day
2024-01-01 00:00:00,J-101,Main St & 5th Ave,33,13,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-102,Broadway & 8th,27,12,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-103,Park Ave & Central,21,13,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-104,Oak St & 2nd Ave,18,13,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-105,Elm Rd & North Ring,12,13,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-106,Lake View & Sector 3,8,13,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-107,Industrial Bypass,6,13,LOW,Cloudy,Monday,0,0
2024-01-01 00:00:00,J-108,Station Rd & MG Ave,28,12,LOW,Cloudy,Monday,0,0
2024-01-01 00:15:00,J-101,Main St & 5th Ave,33,13,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-102,Broadway & 8th,28,13,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-103,Park Ave & Central,13,8,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-104,Oak St & 2nd Ave,16,11,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-105,Elm Rd & North Ring,13,14,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-106,Lake View & Sector 3,7,11,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-107,Industrial Bypass,6,13,LOW,Clear,Monday,0,0
2024-01-01 00:15:00,J-108,Station Rd & MG Ave,31,13,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-101,Main St & 5th Ave,32,13,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-102,Broadway & 8th,30,13,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-103,Park Ave & Central,19,12,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-104,Oak St & 2nd Ave,16,11,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-105,Elm Rd & North Ring,10,10,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-106,Lake View & Sector 3,6,9,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-107,Industrial Bypass,5,10,LOW,Clear,Monday,0,0
2024-01-01 00:30:00,J-108,Station Rd & MG Ave,32,13,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-101,Main St & 5th Ave,35,14,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-102,Broadway & 8th,26,12,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-103,Park Ave & Central,15,9,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-104,Oak St & 2nd Ave,15,10,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-105,Elm Rd & North Ring,12,13,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-106,Lake View & Sector 3,8,13,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-107,Industrial Bypass,6,13,LOW,Clear,Monday,0,0
2024-01-01 00:45:00,J-108,Station Rd & MG Ave,31,13,LOW,Clear,Monday,0,0
2024-01-01 01:00:00,J-101,Main St & 5th Ave,4,1,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-102,Broadway & 8th,3,1,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-103,Park Ave & Central,2,1,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-104,Oak St & 2nd Ave,2,1,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-105,Elm Rd & North Ring,2,2,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-107,Industrial Bypass,1,2,LOW,Clear,Monday,0,1
2024-01-01 01:00:00,J-108,Station Rd & MG Ave,5,,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-101,Main St & 5th Ave,6,2,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-102,Broadway & 8th,4,1,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-103,Park Ave & Central,3,1,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-104,Oak St & 2nd Ave,2,1,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-105,Elm Rd & North Ring,1,1,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-107,Industrial Bypass,0,0,LOW,Clear,Monday,0,1
2024-01-01 01:15:00,J-108,Station Rd & MG Ave,4,1,LOW,Clear,Monday,0,1
2024-01-01 01:30:00,J-101,Main St & 5th Ave,3,1,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-102,Broadway & 8th,3,1,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-103,Park Ave & Central,2,1,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-104,Oak St & 2nd Ave,2,1,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-105,Elm Rd & North Ring,1,1,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-106,Lake View & Sector 3,0,0,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-107,Industrial Bypass,0,0,LOW,Hazy,Monday,0,1
2024-01-01 01:30:00,J-108,Station Rd & MG Ave,4,1,LOW,Hazy,Monday,0,1
2024-01-01 01:45:00,J-101,Main St & 5th Ave,5,2,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-102,Broadway & 8th,4,1,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-103,Park Ave & Central,3,1,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-104,Oak St & 2nd Ave,2,1,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-105,Elm Rd & North Ring,1,1,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-107,Industrial Bypass,0,0,LOW,Clear,Monday,0,1
2024-01-01 01:45:00,J-108,Station Rd & MG Ave,4,1,LOW,Clear,Monday,0,1
2024-01-01 02:00:00,J-101,Main St & 5th Ave,5,2,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-102,Broadway & 8th,3,1,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-103,Park Ave & Central,2,1,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-104,Oak St & 2nd Ave,2,1,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-105,Elm Rd & North Ring,1,1,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-106,Lake View & Sector 3,1,1,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-107,Industrial Bypass,0,0,LOW,Hazy,Monday,0,2
2024-01-01 02:00:00,J-108,Station Rd & MG Ave,5,2,LOW,Hazy,Monday,0,2
2024-01-01 02:15:00,J-101,Main St & 5th Ave,3,1,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-102,Broadway & 8th,3,1,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-103,Park Ave & Central,2,1,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-104,Oak St & 2nd Ave,2,1,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-105,Elm Rd & North Ring,1,1,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-106,Lake View & Sector 3,1,1,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-107,Industrial Bypass,0,0,LOW,Cloudy,Monday,0,2
2024-01-01 02:15:00,J-108,Station Rd & MG Ave,5,2,LOW,Cloudy,Monday,0,2
2024-01-01 02:30:00,J-101,Main St & 5th Ave,4,1,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-102,Broadway & 8th,4,1,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-103,Park Ave & Central,3,1,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-104,Oak St & 2nd Ave,2,1,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-105,Elm Rd & North Ring,2,2,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-107,Industrial Bypass,1,2,LOW,Clear,Monday,0,2
2024-01-01 02:30:00,J-108,Station Rd & MG Ave,4,1,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-101,Main St & 5th Ave,5,2,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-102,Broadway & 8th,4,1,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-103,Park Ave & Central,2,1,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-104,Oak St & 2nd Ave,2,1,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-105,Elm Rd & North Ring,,1,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-107,Industrial Bypass,0,0,LOW,Clear,Monday,0,2
2024-01-01 02:45:00,J-108,Station Rd & MG Ave,3,1,LOW,Clear,Monday,0,2
2024-01-01 03:00:00,J-101,Main St & 5th Ave,2,0,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-102,Broadway & 8th,2,0,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-103,Park Ave & Central,2,1,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-104,Oak St & 2nd Ave,1,0,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-105,Elm Rd & North Ring,1,1,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-106,Lake View & Sector 3,0,0,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-107,Industrial Bypass,0,0,LOW,Fog,Monday,0,3
2024-01-01 03:00:00,J-108,Station Rd & MG Ave,2,0,LOW,Fog,Monday,0,3
2024-01-01 03:15:00,J-101,Main St & 5th Ave,3,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-102,Broadway & 8th,4,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-103,Park Ave & Central,2,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-104,Oak St & 2nd Ave,2,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-105,Elm Rd & North Ring,1,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-106,Lake View & Sector 3,1,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-107,Industrial Bypass,0,0,LOW,Light Rain,Monday,0,3
2024-01-01 03:15:00,J-108,Station Rd & MG Ave,4,1,LOW,Light Rain,Monday,0,3
2024-01-01 03:30:00,J-101,Main St & 5th Ave,3,1,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-102,Broadway & 8th,3,1,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-103,Park Ave & Central,2,1,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-104,Oak St & 2nd Ave,2,1,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-105,Elm Rd & North Ring,1,1,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-106,Lake View & Sector 3,1,,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-107,Industrial Bypass,0,0,LOW,Hazy,Monday,0,3
2024-01-01 03:30:00,J-108,Station Rd & MG Ave,3,1,LOW,Hazy,Monday,0,3
2024-01-01 03:45:00,J-101,Main St & 5th Ave,4,1,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-102,Broadway & 8th,3,1,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-103,Park Ave & Central,2,1,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-104,Oak St & 2nd Ave,3,2,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-105,Elm Rd & North Ring,2,2,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-107,Industrial Bypass,0,0,LOW,Clear,Monday,0,3
2024-01-01 03:45:00,J-108,Station Rd & MG Ave,4,1,LOW,Clear,Monday,0,3
2024-01-01 04:00:00,J-101,Main St & 5th Ave,4,1,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-102,Broadway & 8th,4,1,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-103,Park Ave & Central,2,1,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-104,Oak St & 2nd Ave,2,1,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-105,Elm Rd & North Ring,1,1,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-107,Industrial Bypass,1,2,LOW,Clear,Monday,0,4
2024-01-01 04:00:00,J-108,Station Rd & MG Ave,4,1,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-101,Main St & 5th Ave,4,1,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-102,Broadway & 8th,4,1,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-103,Park Ave & Central,3,1,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-104,Oak St & 2nd Ave,3,2,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-105,Elm Rd & North Ring,1,1,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-106,Lake View & Sector 3,1,1,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-107,Industrial Bypass,1,2,LOW,Clear,Monday,0,4
2024-01-01 04:15:00,J-108,Station Rd & MG Ave,4,1,LOW,Clear,Monday,0,4
2024-01-01 04:30:00,J-101,Main St & 5th Ave,2,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-102,Broadway & 8th,2,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-103,Park Ave & Central,1,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-104,Oak St & 2nd Ave,1,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-105,Elm Rd & North Ring,1,1,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-106,Lake View & Sector 3,0,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-107,Industrial Bypass,0,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:30:00,J-108,Station Rd & MG Ave,2,0,LOW,Heavy Rain,Monday,0,4
2024-01-01 04:45:00,J-101,Main St & 5th Ave,2,0,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-102,Broadway & 8th,2,0,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-103,Park Ave & Central,1,0,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-104,Oak St & 2nd Ave,2,1,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-105,Elm Rd & North Ring,1,1,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-106,Lake View & Sector 3,0,0,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-107,Industrial Bypass,0,0,LOW,Fog,Monday,0,4
2024-01-01 04:45:00,J-108,Station Rd & MG Ave,3,1,LOW,Fog,Monday,0,4
2024-01-01 05:00:00,J-101,Main St & 5th Ave,5,2,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-102,Broadway & 8th,4,1,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-103,Park Ave & Central,2,1,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-104,Oak St & 2nd Ave,2,1,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-105,Elm Rd & North Ring,1,1,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-106,Lake View & Sector 3,1,1,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-107,Industrial Bypass,0,0,LOW,Cloudy,Monday,0,5
2024-01-01 05:00:00,J-108,Station Rd & MG Ave,3,1,LOW,Cloudy,Monday,0,5
2024-01-01 05:15:00,J-101,Main St & 5th Ave,29,11,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-102,Broadway & 8th,23,10,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-103,Park Ave & Central,15,9,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-104,Oak St & 2nd Ave,14,10,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-105,Elm Rd & North Ring,10,10,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-106,Lake View & Sector 3,6,9,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-107,Industrial Bypass,4,8,LOW,Light Rain,Monday,0,5
2024-01-01 05:15:00,J-108,Station Rd & MG Ave,29,12,LOW,Light Rain,Monday,0,5
2024-01-01 05:30:00,J-101,Main St & 5th Ave,29,11,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-102,Broadway & 8th,25,11,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-103,Park Ave & Central,22,14,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-104,Oak St & 2nd Ave,16,11,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-105,Elm Rd & North Ring,9,9,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-106,Lake View & Sector 3,9,14,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-107,Industrial Bypass,6,13,LOW,Cloudy,Monday,0,5
2024-01-01 05:30:00,J-108,Station Rd & MG Ave,23,9,LOW,Cloudy,Monday,0,5
2024-01-01 05:45:00,J-101,Main St & 5th Ave,23,9,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-102,Broadway & 8th,23,10,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-103,Park Ave & Central,17,11,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-104,Oak St & 2nd Ave,14,10,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-105,Elm Rd & North Ring,9,9,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-106,Lake View & Sector 3,6,9,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-107,Industrial Bypass,4,8,LOW,Light Rain,Monday,0,5
2024-01-01 05:45:00,J-108,Station Rd & MG Ave,30,13,LOW,Light Rain,Monday,0,5
2024-01-01 06:00:00,J-101,Main St & 5th Ave,31,12,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-102,Broadway & 8th,24,11,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-103,Park Ave & Central,20,13,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-104,Oak St & 2nd Ave,17,12,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-105,Elm Rd & North Ring,10,10,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-106,Lake View & Sector 3,8,13,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-107,Industrial Bypass,5,10,LOW,Clear,Monday,0,6
2024-01-01 06:00:00,J-108,Station Rd & MG Ave,32,13,LOW,Clear,Monday,0,6
2024-01-01 06:15:00,J-101,Main St & 5th Ave,28,11,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-102,Broadway & 8th,25,11,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-103,Park Ave & Central,16,10,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-104,Oak St & 2nd Ave,16,11,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-105,Elm Rd & North Ring,9,9,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-106,Lake View & Sector 3,6,9,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-107,Industrial Bypass,5,10,LOW,Light Rain,Monday,0,6
2024-01-01 06:15:00,J-108,Station Rd & MG Ave,22,9,LOW,Light Rain,Monday,0,6
2024-01-01 06:30:00,J-101,Main St & 5th Ave,40,16,LOW,Clear,Monday,0,6
2024-01-01 06:30:00,J-102,Broadway & 8th,30,13,LOW,Clear,Monday,0,6
2024-01-01 06:30:00,J-103,Park Ave & Central,19,12,LOW,Clear,Monday,0,6
2024-01-01 06:30:00,J-104,Oak St & 2nd Ave,17,12,LOW,Clear,Monday,0,6
2024-01-01 06:30:00,J-105,Elm Rd & North Ring,13,14,LOW,Clear,Monday,0,6
2024-01-01 06:30:00,J-106,Lake View & Sector 3,9,14,LOW,Clear,Monday,0,6
